tpop_2015, tpop_2016, lga_name, lga_code, tpop_2011, tpop_2012, tpop_2013, tpop_2014
11997,11985,Alpine (S),20110,12067,12103,12024,12016
11236,11299,Ararat (RC),20260,11326,11335,11228,11191
102260,104344,Ballarat (C),20570,95192,96916,98589,100277
126578,127430,Banyule (C),20660,122983,123600,124382,125503
32564,33581,Bass Coast (S),20740,30232,30614,30982,31629
47100,48378,Baw Baw (S),20830,43387,44323,45169,45939
100769,101852,Bayside (C),20910,96119,96992,98295,99947
13652,13715,Benalla (RC),21010,13823,13727,13690,13598
175481,177915,Boroondara (C),21110,167062,168458,170424,172612
198951,200144,Brimbank (C),21180,191495,193337,195325,197704
6021,5966,Buloke (S),21270,6465,6355,6216,6086
36896,36955,Campaspe (S),21370,36869,36960,36891,36880
91032,95604,Cardinia (S),21450,75832,80178,84002,87028
291875,300169,Casey (C),21610,261282,267640,274907,283415
12657,12729,Central Goldfields (S),21670,12579,12588,12610,12599
20577,20676,Colac-Otway (S),21750,20799,20754,20662,20501
15972,15961,Corangamite (S),21830,16528,16363,16117,16000
150604,153638,Darebin (C),21890,142942,144641,146687,148728
44135,44611,East Gippsland (S),22110,42830,43179,43388,43770
136486,137554,Frankston (C),22170,130350,131754,133459,135243
9949,9771,Gannawarra (S),22250,10453,10372,10314,10145
146532,148050,Glen Eira (C),22310,137152,139242,141413,144059
19310,19283,Glenelg (S),22410,19849,19762,19500,19358
21113,21714,Golden Plains (S),22490,18958,19470,20136,20544
108670,110497,Greater Bendigo (C),22620,102009,103615,105233,106964
152736,155913,Greater Dandenong (C),22670,142167,144312,146615,149518
227997,231487,Greater Geelong (C),22750,215833,218143,221353,224918
63997,64803,Greater Shepparton (C),22830,61766,62390,62750,63268
15024,15175,Hepburn (S),22910,14630,14711,14802,14888
5551,5497,Hindmarsh (S),22980,5858,5784,5673,5614
92170,93377,Hobsons Bay (C),23110,87396,88275,89406,91148
19772,19886,Horsham (RC),23190,19523,19630,19667,19693
193735,199220,Hume (C),23270,174291,178001,183091,188819
15475,15549,Indigo (S),23350,15317,15376,15360,15410
154368,155995,Kingston (C),23430,148304,150014,151571,153079
156842,158017,Knox (C),23670,154623,154592,154797,155509
73690,73903,Latrobe (C),23810,73788,73976,73778,73662
7386,7399,Loddon (S),23940,7549,7494,7438,7381
45497,46272,Macedon Ranges (S),24130,42860,43520,44066,44715
119749,121184,Manningham (C),24210,116743,117019,117426,118521
8297,8392,Mansfield (S),24250,7943,8050,8170,8207
83752,86877,Maribyrnong (C),24330,75154,76866,79242,81859
112228,112971,Maroondah (C),24410,107319,108176,109513,111233
129746,137340,Melbourne (C),24600,100244,105418,116359,122206
131492,136539,Melton (C),24650,112643,117911,122847,127687
53314,53687,Mildura (RC),24780,51822,52197,52646,53036
39581,40732,Mitchell (S),24850,35068,36144,37347,38517
28977,29155,Moira (S),24900,28406,28647,28653,28833
187099,189236,Monash (C),24970,177345,179931,182348,185037
119328,121382,Moonee Valley (C),25060,112194,113512,115009,117337
31582,32420,Moorabool (S),25150,28664,29376,30326,30923
166559,170178,Moreland (C),25250,154246,156672,159928,163528
155841,157787,Mornington Peninsula (S),25340,149271,150830,152145,153800
18220,18360,Mount Alexander (S),25430,17877,17888,17979,18100
16416,16503,Moyne (S),25490,16170,16279,16304,16348
13646,13713,Murrindindi (S),25620,13324,13424,13478,13593
62917,63090,Nillumbik (S),25710,62716,62751,62676,62872
11677,11657,Northern Grampians (S),25810,12054,11940,11778,11719
106730,108049,Port Phillip (C),25900,97260,100393,102421,104845
6938,6902,Pyrenees (S),25990,6757,6753,6760,6981
3036,3035,Queenscliffe (B),26080,3069,3074,3060,3042
15885,15869,Southern Grampians (S),26260,16571,16371,16141,15918
27984,28112,South Gippsland (S),26170,27515,27756,27925,27927
109903,112119,Stonnington (C),26350,98853,101187,103110,105981
9871,9938,Strathbogie (S),26430,9601,9663,9698,9809
28880,29337,Surf Coast (S),26490,26663,27480,28266,28474
20612,20679,Swan Hill (RC),26610,20865,20954,20855,20580
5766,5740,Towong (S),26670,5918,5911,5885,5796
779,780,Unincorporated Vic,29399,773,778,780,780
27255,27410,Wangaratta (RC),26700,27212,27221,27176,27117
33626,33795,Warrnambool (C),26730,32661,32971,33239,33494
42292,42467,Wellington (S),26810,42064,42275,42280,42222
3969,3933,West Wimmera (S),26890,4285,4201,4107,4012
166018,168949,Whitehorse (C),26980,157542,159290,161580,163679
193783,200894,Whittlesea (C),27070,160800,169955,179126,187006
38773,39439,Wodonga (RC),27170,36025,36576,37317,38131
209768,218553,Wyndham (C),27260,166698,178859,189111,199715
89316,92225,Yarra (C),27350,78901,80972,83512,86467
150539,150939,Yarra Ranges (S),27450,148907,149251,149444,150085
6776,6674,Yarriambiack (S),27630,7183,7099,7027,6890
